loop,date,time,spd,lat,lon,mx,my,mz,mdir,th_des,th_err,dist,st,st_fin,col,waypoint
5394,5394,12.7.2023, 010:55:12.00,5.37,37.43956,24.945402,-43.66,-4.81,58.11,263.71,283.29,19.58,4.88,102,102,0,1
5398,5398,12.7.2023, 010:55:13.00,3.91,37.439556,24.945389,-41.22,-2.38,61.64,266.7,291.95,25.25,3.94,108,108,0,1
5401,5401,12.7.2023, 010:55:14.00,4.54,37.439552,24.945377,-46.09,1.28,59.29,271.59,304.98,33.39,3.11,114,114,0,1
5403,5403,12.7.2023, 010:55:15.00,4.76,37.439552,24.945362,-42.44,9.81,60.46,283.02,326.99,43.97,2.04,126,126,0,2
5407,5407,12.7.2023, 010:55:18.00,3.5,37.439568,24.94533,-36.34,30.53,58.11,310.03,158.22,-151.81,124.67,30,30,0,2
5411,5411,12.7.2023, 010:55:19.00,2.39,37.439568,24.945322,-37.56,-9.69,56.93,255.54,157.9,-97.64,124.95,30,30,0,2
5415,5415,12.7.2023, 010:55:20.00,2.48,37.439568,24.945314,-4.66,-34.06,56.93,187.78,157.67,-30.11,125.18,60,60,0,2
5419,5419,12.7.2023, 010:55:21.00,4.11,37.43956,24.945314,19.72,-35.28,59.29,150.8,157.51,6.71,124.48,90,90,0,2
5423,5423,12.7.2023, 010:55:22.00,4.98,37.439548,24.945318,22.16,-35.28,56.93,147.87,157.5,9.63,123.31,90,90,0,2
5427,5427,12.7.2023, 010:55:23.00,5.35,37.439537,24.945324,17.28,-36.5,59.29,154.66,157.35,2.69,121.67,90,90,0,2
5431,5431,12.7.2023, 010:55:24.00,5.52,37.439522,24.94533,16.06,-34.06,61.64,154.75,157.31,2.55,120.1,90,90,0,2
5435,5435,12.7.2023, 010:55:25.00,5.78,37.439507,24.945335,20.94,-37.72,60.46,150.97,157.26,6.29,118.52,90,90,0,2
5439,5439,12.7.2023, 010:55:26.00,5.57,37.439495,24.945341,16.06,-37.72,59.29,156.93,157.24,0.31,116.89,90,90,0,2
5442,5442,12.7.2023, 010:55:27.00,5.65,37.43948,24.945349,17.28,-35.28,58.11,153.9,157.19,3.29,115.25,90,90,0,2
5444,5444,12.7.2023, 010:55:28.00,5.8,37.439468,24.945354,19.72,-36.5,56.93,151.62,157.11,5.48,113.68,90,90,0,2
5447,5447,12.7.2023, 010:55:29.00,5.56,37.439453,24.94536,14.84,-35.28,58.11,157.18,157.09,-0.1,112.04,90,90,0,2
5451,5451,12.7.2023, 010:55:30.00,5.65,37.439442,24.945368,19.72,-38.94,63.99,153.14,157.18,4.04,110.76,90,90,0,2
5455,5455,12.7.2023, 010:55:31.00,5.69,37.43943,24.945374,20.94,-32.84,58.11,147.48,157.17,9.68,109.13,90,90,0,2
5459,5459,12.7.2023, 010:55:32.00,5.52,37.439415,24.945379,19.72,-37.72,58.11,152.4,157.03,4.63,107.55,90,90,0,2
5463,5463,12.7.2023, 010:55:33.00,5.52,37.439404,24.945385,17.28,-35.28,58.11,153.9,156.94,3.03,105.98,90,90,0,2
5465,5465,12.7.2023, 010:55:34.00,5.82,37.439388,24.945393,18.5,-36.5,59.29,153.12,156.99,3.87,104.28,90,90,0,2
5469,5469,12.7.2023, 010:55:35.00,5.76,37.439377,24.9454,18.5,-35.28,60.46,152.33,157.05,4.72,103.0,90,90,0,2
5473,5473,12.7.2023, 010:55:36.00,5.59,37.439362,24.945406,17.28,-37.72,61.64,155.38,157.03,1.65,101.02,90,90,0,2
5477,5477,12.7.2023, 010:55:37.00,5.46,37.43935,24.945412,22.16,-38.94,55.76,150.36,156.93,6.57,99.79,90,90,0,2
5480,5480,12.7.2023, 010:55:38.00,5.57,37.439335,24.945419,17.28,-35.28,59.29,153.9,156.86,2.96,97.81,90,90,0,2
5484,5484,12.7.2023, 010:55:39.00,5.72,37.439323,24.945427,18.5,-35.28,59.29,152.33,157.05,4.72,96.46,90,90,0,2
5486,5486,12.7.2023, 010:55:40.00,5.63,37.439308,24.945433,18.5,-38.94,59.29,154.59,156.72,2.13,94.54,90,90,0,2
