loop,date,time,spd,lat,lon,mx,my,mz,mdir,th_des,th_err,dist,st,st_fin,col,waypoint
432,432,12.7.2023, 011:43:40.00,0.87,37.439678,24.945583,-31.47,-19.44,58.11,238.3,199.66,-38.64,8.07,48,47,1496,0
436,436,12.7.2023, 011:43:41.00,2.24,37.439671,24.94558,-10.75,-35.28,55.76,196.95,199.95,3.0,7.25,84,144,2004,0
440,440,12.7.2023, 011:43:42.00,2.85,37.439663,24.945576,-14.41,-37.72,59.29,200.9,200.97,0.07,6.07,78,78,1504,0
444,444,12.7.2023, 011:43:43.00,3.78,37.439655,24.945572,-18.06,-35.28,58.11,207.11,201.65,-5.46,5.26,78,137,1996,0
448,448,12.7.2023, 011:43:44.00,3.44,37.439648,24.945566,-36.34,-21.88,56.93,238.96,196.1,-42.85,4.35,42,42,1500,0
452,452,12.7.2023, 011:43:45.00,2.96,37.439644,24.945559,-21.72,-26.75,54.58,219.07,189.49,-29.58,3.84,54,54,1500,0
456,456,12.7.2023, 011:43:46.00,3.33,37.439636,24.945553,-2.22,-36.5,56.93,183.48,182.84,-0.64,3.04,78,30,1000,0
460,460,12.7.2023, 011:43:47.00,3.24,37.439629,24.945553,-7.09,-40.16,60.46,190.02,184.54,-5.48,1.9,72,30,1000,1
464,464,12.7.2023, 011:43:50.00,2.52,37.439613,24.945538,-46.09,3.72,56.93,274.61,167.06,-107.55,124.27,30,30,1000,1
467,467,12.7.2023, 011:43:51.00,2.65,37.439617,24.94553,-32.69,-17.0,59.29,242.52,166.78,-75.74,124.81,30,30,1492,1
470,470,12.7.2023, 011:43:52.00,2.3,37.439613,24.945522,-13.19,-36.5,52.23,199.86,166.47,-33.39,124.58,48,48,1500,1
474,474,12.7.2023, 011:43:53.00,2.85,37.439606,24.945517,7.53,-36.5,56.93,168.34,166.1,-2.24,123.99,72,113,1848,1
478,478,12.7.2023, 011:43:54.00,3.65,37.439598,24.945517,12.41,-34.06,56.93,159.99,165.97,5.98,122.88,84,83,1496,1
482,482,12.7.2023, 011:43:55.00,3.63,37.43959,24.945518,23.38,-26.75,55.76,138.85,166.02,27.17,122.07,96,36,1000,1
486,486,12.7.2023, 011:43:56.00,3.35,37.439579,24.94552,39.22,-14.56,55.76,110.37,166.0,55.63,120.93,120,96,1308,1
488,488,12.7.2023, 011:43:57.00,3.07,37.439575,24.945528,35.56,-21.88,60.46,121.6,166.22,44.62,120.42,114,114,1500,1
492,492,12.7.2023, 011:43:58.00,3.78,37.439568,24.945536,27.03,-34.06,60.46,141.57,166.44,24.87,119.13,96,96,1500,1
496,496,12.7.2023, 011:43:59.00,4.11,37.43956,24.945543,20.94,-36.5,59.29,150.16,166.59,16.43,118.25,90,150,2000,1
500,500,12.7.2023, 011:44:00.00,3.06,37.439552,24.945547,9.97,-38.94,61.64,165.64,166.67,1.03,117.44,78,77,1496,1
504,504,12.7.2023, 011:44:01.00,3.56,37.439545,24.945547,0.22,-37.72,54.58,179.67,166.59,-13.08,116.71,66,66,1500,1
508,508,12.7.2023, 011:44:02.00,3.5,37.439537,24.945547,14.84,-36.5,55.76,157.87,166.43,8.56,115.6,84,83,1496,1
510,510,12.7.2023, 011:44:03.00,4.24,37.439526,24.945551,17.28,-34.06,60.46,153.1,166.52,13.42,114.38,90,90,1508,1
514,514,12.7.2023, 011:44:04.00,4.07,37.439514,24.945557,17.28,-36.5,55.76,154.66,166.65,11.99,113.17,90,90,1500,1
518,518,12.7.2023, 011:44:05.00,4.32,37.439507,24.94556,18.5,-31.63,58.11,149.67,166.71,17.04,112.36,90,90,1500,1
522,522,12.7.2023, 011:44:06.00,4.44,37.439495,24.945566,17.28,-35.28,60.46,153.9,166.74,12.83,110.78,90,90,1500,1
526,526,12.7.2023, 011:44:07.00,4.24,37.439487,24.945572,16.06,-36.5,56.93,156.25,166.93,10.68,109.9,90,117,1728,1
530,530,12.7.2023, 011:44:08.00,4.04,37.439476,24.945576,12.41,-35.28,59.29,160.63,166.97,6.35,108.73,84,84,1500,1
534,534,12.7.2023, 011:44:09.00,4.52,37.439465,24.94558,16.06,-36.5,55.76,156.25,166.95,10.7,107.18,90,90,1500,1
