,loop,date,time,spd,lat,lon,mx,my,mz,mdir,th_des,th_err,dist,st,st_fin,col,waypoint
330,330,12.7.2023, 012:17:00.00,3.09,37.439632,24.94578,9.97,48.81,62.81,11.54,315.22,-56.33,3.21,48,48,0,0
334,334,12.7.2023, 012:17:01.00,3.09,37.439636,24.945786,-4.66,52.47,58.11,354.93,302.2,-52.73,3.11,54,54,0,0
338,338,12.7.2023, 012:17:02.00,3.22,37.439644,24.945789,-21.72,46.38,58.11,334.9,290.7,-44.21,3.11,60,60,0,0
340,340,12.7.2023, 012:17:03.00,3.11,37.439651,24.945786,-35.13,37.84,58.11,317.13,270.0,-47.13,2.71,54,54,0,0
344,344,12.7.2023, 012:17:04.00,3.74,37.439659,24.94578,-44.88,23.22,56.93,297.36,260.47,-36.89,2.39,66,66,0,0
347,347,12.7.2023, 012:17:05.00,3.87,37.439663,24.945768,-43.66,9.81,59.29,282.67,226.63,-56.04,1.66,48,48,0,1
351,351,12.7.2023, 012:17:08.00,4.3,37.439663,24.945732,-33.91,-20.66,58.11,238.65,252.96,14.31,35.69,102,102,0,1
355,355,12.7.2023, 012:17:09.00,4.28,37.439655,24.945719,-41.22,-13.34,58.11,252.06,253.58,1.52,34.32,96,96,0,1
359,359,12.7.2023, 012:17:10.00,4.59,37.439651,24.945705,-42.44,-10.91,56.93,255.59,253.31,-2.28,33.05,90,90,0,1
361,361,12.7.2023, 012:17:11.00,4.65,37.439648,24.945692,-43.66,-13.34,56.93,253.0,254.0,0.99,31.79,90,90,0,1
365,365,12.7.2023, 012:17:12.00,4.5,37.439644,24.945679,-43.66,-10.91,60.46,255.97,253.71,-2.26,30.52,90,90,0,1
368,368,12.7.2023, 012:17:13.00,4.69,37.43964,24.945665,-47.31,-10.91,56.93,257.02,253.85,-3.17,29.4,90,90,0,1
372,372,12.7.2023, 012:17:14.00,4.67,37.439636,24.94565,-42.44,-7.25,59.29,260.31,253.45,-6.86,27.99,90,90,0,1
376,376,12.7.2023, 012:17:15.00,4.57,37.439636,24.945637,-41.22,-9.69,56.93,256.77,252.72,-4.06,26.84,90,90,0,1
380,380,12.7.2023, 012:17:16.00,4.57,37.439632,24.945623,-42.44,-10.91,56.93,255.59,253.95,-1.64,25.47,90,90,0,1
382,382,12.7.2023, 012:17:17.00,4.67,37.439629,24.94561,-43.66,-8.47,59.29,259.02,254.46,-4.56,24.2,90,90,0,1
386,386,12.7.2023, 012:17:18.00,4.63,37.439625,24.945595,-43.66,-10.91,54.58,255.97,254.01,-1.97,22.79,90,90,0,1
389,389,12.7.2023, 012:17:19.00,4.54,37.439621,24.945581,-42.44,-6.03,58.11,261.91,255.07,-6.84,21.53,90,90,0,1
393,393,12.7.2023, 012:17:20.00,4.67,37.439621,24.945568,-47.31,-8.47,56.93,259.85,253.79,-6.06,20.52,90,90,0,1
396,396,12.7.2023, 012:17:21.00,4.69,37.439617,24.945553,-41.22,-12.13,59.29,253.61,252.66,-0.95,19.11,90,90,0,1
400,400,12.7.2023, 012:17:22.00,4.56,37.439613,24.945539,-44.88,-12.13,56.93,254.88,252.67,-2.21,17.85,90,90,0,1
402,402,12.7.2023, 012:17:23.00,4.69,37.43961,24.945526,-43.66,-8.47,60.46,259.02,252.68,-6.34,16.58,90,90,0,1
406,406,12.7.2023, 012:17:24.00,4.82,37.439606,24.945511,-44.88,-8.47,56.93,259.31,253.9,-5.41,15.17,90,90,0,1
410,410,12.7.2023, 012:17:25.00,3.82,37.439602,24.945499,-44.88,-9.69,56.93,257.82,75.86,178.04,23.32,150,150,0,0
414,414,12.7.2023, 012:17:26.00,2.93,37.439602,24.94549,-40.0,17.13,60.46,293.18,75.86,142.68,24.05,150,150,0,0
418,418,12.7.2023, 012:17:27.00,2.37,37.439602,24.945482,-26.59,35.41,60.46,323.09,253.15,-69.94,12.5,36,36,0,1
